,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
8293485,1.0,5.0,0.0,1.0,2.0,4.0
8294154,1.0,1.0,0.0,2.0,0.0,0.0
829564599,0.0,1.0,0.0,3.0,0.0,0.0
829671088,0.0,1.0,0.0,3.0,0.0,0.0
829696080,2.0,0.0,-1.0,4.0,2.0,1.0
8297023,2.0,4.0,-1.0,0.0,3.0,5.0
829750409,0.0,1.0,0.0,3.0,0.0,0.0
8298634,1.0,1.0,0.0,2.0,0.0,0.0
82999461,1.0,1.0,0.0,2.0,0.0,0.0
8300046,0.0,1.0,-1.0,3.0,0.0,0.0
830047,1.0,1.0,0.0,3.0,0.0,0.0
830141957,3.0,1.0,0.0,3.0,0.0,0.0
830310569,1.0,1.0,0.0,2.0,0.0,0.0
83040,0.0,1.0,0.0,3.0,0.0,0.0
8307035,5.0,0.0,-1.0,1.0,2.0,1.0
8308065,1.0,1.0,0.0,3.0,0.0,0.0
830926021,1.0,1.0,0.0,2.0,0.0,0.0
831071563,1.0,1.0,0.0,3.0,0.0,0.0
831073264,1.0,5.0,0.0,2.0,0.0,0.0
831086270,0.0,1.0,0.0,3.0,0.0,0.0
8311151,1.0,1.0,0.0,2.0,0.0,0.0
8311566,0.0,1.0,0.0,3.0,0.0,0.0
831268312,1.0,1.0,0.0,2.0,0.0,0.0
8315235,1.0,1.0,0.0,2.0,0.0,0.0
8316742,2.0,4.0,-1.0,4.0,2.0,3.0
83168369,5.0,5.0,-1.0,1.0,2.0,1.0
8317029,2.0,4.0,-1.0,4.0,2.0,3.0
832082576,0.0,1.0,0.0,3.0,0.0,0.0
832095231,1.0,1.0,0.0,3.0,0.0,0.0
832389901,1.0,5.0,0.0,2.0,2.0,4.0
83248206,5.0,0.0,-1.0,1.0,2.0,1.0
832662491,0.0,1.0,-1.0,3.0,0.0,0.0
833095946,1.0,1.0,0.0,3.0,0.0,0.0
833101080,2.0,0.0,-1.0,4.0,2.0,1.0
833142944,1.0,1.0,0.0,3.0,0.0,0.0
833179045,0.0,1.0,0.0,3.0,0.0,0.0
833204,1.0,1.0,0.0,2.0,0.0,0.0
833405506,1.0,5.0,0.0,2.0,0.0,4.0
833464184,2.0,0.0,-1.0,1.0,2.0,1.0
83348176,0.0,1.0,-1.0,3.0,0.0,0.0
8336191,1.0,1.0,0.0,2.0,0.0,0.0
83375651,5.0,5.0,-1.0,1.0,2.0,4.0
833820054,1.0,5.0,0.0,1.0,2.0,4.0
8339364,1.0,1.0,0.0,2.0,0.0,0.0
8339612,1.0,1.0,0.0,2.0,0.0,0.0
834000853,1.0,1.0,0.0,3.0,0.0,0.0
8343801,5.0,5.0,-1.0,1.0,2.0,4.0
834587787,1.0,1.0,0.0,2.0,0.0,0.0
834691537,0.0,1.0,0.0,3.0,0.0,0.0
835328345,1.0,1.0,0.0,3.0,0.0,0.0
835519644,5.0,0.0,-1.0,1.0,2.0,1.0
8355732,1.0,1.0,0.0,3.0,0.0,0.0
835730061,0.0,1.0,0.0,3.0,0.0,0.0
836019761,1.0,1.0,0.0,2.0,0.0,0.0
8361040,1.0,5.0,0.0,2.0,2.0,4.0
836142113,0.0,1.0,-1.0,3.0,0.0,5.0
836183972,1.0,1.0,0.0,2.0,0.0,0.0
836209,1.0,1.0,0.0,3.0,0.0,0.0
836342,5.0,0.0,-1.0,1.0,2.0,1.0
8363789,1.0,1.0,0.0,2.0,0.0,0.0
83642589,2.0,4.0,-1.0,0.0,3.0,5.0
8368129,5.0,0.0,-1.0,1.0,2.0,1.0
8368987,1.0,1.0,0.0,2.0,0.0,0.0
