,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
3836049,0.0,3.0,0.0,5.0,2.0,0.0
383795,0.0,3.0,0.0,5.0,2.0,0.0
3838828,0.0,3.0,0.0,5.0,2.0,0.0
3839695,2.0,3.0,0.0,2.0,2.0,0.0
3840572,3.0,1.0,0.0,0.0,1.0,3.0
38411448,5.0,5.0,-1.0,3.0,1.0,1.0
38417,3.0,1.0,0.0,0.0,1.0,3.0
38418,5.0,5.0,3.0,3.0,1.0,1.0
38419759,4.0,0.0,-1.0,1.0,0.0,2.0
38432048,3.0,1.0,0.0,3.0,1.0,3.0
38434498,1.0,3.0,0.0,0.0,1.0,0.0
38435396,0.0,3.0,0.0,5.0,2.0,0.0
3843862,5.0,2.0,-1.0,4.0,3.0,5.0
38439376,5.0,5.0,-1.0,3.0,1.0,1.0
38451338,5.0,2.0,-1.0,4.0,3.0,5.0
3846211,3.0,1.0,0.0,0.0,1.0,3.0
38466171,3.0,1.0,0.0,0.0,1.0,3.0
38466513,5.0,5.0,3.0,3.0,1.0,1.0
384675,3.0,1.0,0.0,0.0,1.0,3.0
3847224,4.0,4.0,-1.0,1.0,2.0,4.0
38478983,4.0,0.0,-1.0,1.0,0.0,2.0
3848229,3.0,1.0,0.0,0.0,1.0,3.0
38501883,0.0,3.0,0.0,5.0,2.0,0.0
38508555,4.0,4.0,0.0,2.0,2.0,4.0
3851494,1.0,3.0,0.0,0.0,1.0,0.0
385243,3.0,1.0,0.0,0.0,1.0,3.0
3852693,3.0,1.0,0.0,0.0,1.0,3.0
3852804,5.0,5.0,3.0,3.0,1.0,1.0
3853811,3.0,1.0,0.0,0.0,1.0,3.0
3854403,0.0,3.0,0.0,5.0,2.0,0.0
3854700,3.0,1.0,0.0,0.0,1.0,3.0
3855130,0.0,3.0,0.0,5.0,2.0,0.0
38560853,5.0,5.0,-1.0,3.0,1.0,1.0
38566761,0.0,3.0,0.0,5.0,2.0,0.0
38569305,4.0,4.0,0.0,2.0,2.0,4.0
38570070,5.0,5.0,-1.0,3.0,1.0,1.0
3857242,5.0,5.0,3.0,3.0,1.0,1.0
3857889,4.0,4.0,0.0,2.0,2.0,4.0
