,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
38132816,1.0,0.0,0.0,0.0,3.0,0.0
3813437,0.0,2.0,0.0,0.0,3.0,0.0
3815629,0.0,0.0,0.0,0.0,3.0,0.0
3815653,0.0,2.0,0.0,0.0,3.0,0.0
38160417,1.0,0.0,0.0,0.0,3.0,0.0
38162408,1.0,0.0,0.0,0.0,3.0,0.0
38173553,0.0,2.0,0.0,2.0,3.0,2.0
3818386,1.0,0.0,0.0,0.0,3.0,0.0
38184630,1.0,1.0,0.0,0.0,3.0,0.0
38185886,0.0,0.0,0.0,0.0,3.0,0.0
382012,0.0,2.0,-1.0,2.0,0.0,2.0
3820418,0.0,2.0,-1.0,2.0,0.0,2.0
38209,0.0,0.0,0.0,0.0,3.0,0.0
382248,0.0,0.0,0.0,0.0,3.0,0.0
3824212,1.0,0.0,0.0,0.0,3.0,0.0
3825914,0.0,2.0,-1.0,2.0,0.0,2.0
38262216,1.0,0.0,0.0,0.0,3.0,0.0
3827369,3.0,1.0,-1.0,3.0,1.0,1.0
3828859,1.0,1.0,-1.0,0.0,3.0,1.0
3830381,0.0,2.0,0.0,2.0,3.0,2.0
38309333,0.0,0.0,0.0,0.0,3.0,0.0
38309895,1.0,0.0,0.0,0.0,3.0,0.0
3832100,3.0,1.0,-1.0,3.0,1.0,1.0
3832417,0.0,2.0,-1.0,2.0,0.0,2.0
3833281,0.0,2.0,-1.0,2.0,0.0,2.0
38333372,0.0,0.0,0.0,0.0,3.0,0.0
38336963,2.0,3.0,-1.0,1.0,1.0,3.0
38338984,1.0,0.0,0.0,0.0,3.0,0.0
3834182,1.0,0.0,0.0,0.0,3.0,0.0
38343828,3.0,1.0,-1.0,3.0,1.0,1.0
3835297,1.0,0.0,0.0,0.0,3.0,0.0
3835324,0.0,2.0,1.0,2.0,3.0,2.0
3836049,0.0,2.0,0.0,0.0,3.0,0.0
383795,1.0,0.0,0.0,0.0,3.0,0.0
3838828,0.0,0.0,0.0,0.0,3.0,0.0
3839695,1.0,0.0,0.0,0.0,3.0,0.0
3840572,0.0,0.0,0.0,0.0,3.0,0.0
38411448,1.0,0.0,0.0,0.0,3.0,0.0
38417,1.0,0.0,0.0,0.0,3.0,0.0
38418,3.0,1.0,-1.0,3.0,1.0,1.0
38419759,1.0,0.0,0.0,0.0,3.0,0.0
38432048,3.0,1.0,-1.0,3.0,1.0,1.0
38434498,0.0,0.0,0.0,0.0,3.0,0.0
38435396,0.0,2.0,0.0,2.0,3.0,2.0
3843862,1.0,0.0,0.0,0.0,3.0,0.0
38439376,1.0,0.0,0.0,0.0,3.0,0.0
38451338,3.0,3.0,-1.0,1.0,1.0,3.0
3846211,1.0,1.0,-1.0,0.0,3.0,0.0
38466171,3.0,3.0,-1.0,1.0,1.0,3.0
38466513,1.0,0.0,0.0,0.0,3.0,0.0
384675,1.0,0.0,0.0,0.0,3.0,0.0
3847224,0.0,2.0,-1.0,2.0,0.0,2.0
38478983,0.0,0.0,0.0,0.0,3.0,0.0
3848229,3.0,1.0,-1.0,3.0,1.0,1.0
38501883,1.0,0.0,0.0,0.0,3.0,0.0
38508555,0.0,2.0,0.0,0.0,3.0,2.0
3851494,1.0,0.0,0.0,0.0,3.0,0.0
385243,1.0,0.0,0.0,0.0,3.0,0.0
3852693,1.0,0.0,0.0,0.0,3.0,0.0
3852804,0.0,2.0,1.0,2.0,3.0,2.0
3853811,1.0,1.0,-1.0,3.0,3.0,1.0
3854403,0.0,2.0,2.0,2.0,3.0,2.0
3854700,0.0,0.0,0.0,0.0,3.0,0.0
3855130,1.0,0.0,0.0,0.0,3.0,0.0
38560853,0.0,0.0,0.0,0.0,3.0,0.0
38566761,1.0,0.0,0.0,0.0,3.0,0.0
38569305,0.0,2.0,0.0,2.0,3.0,2.0
38570070,0.0,2.0,0.0,2.0,3.0,2.0
3857242,0.0,0.0,0.0,0.0,3.0,0.0
3857889,0.0,2.0,-1.0,2.0,0.0,2.0
385799,2.0,3.0,-1.0,1.0,1.0,3.0
3857992,0.0,2.0,2.0,2.0,3.0,2.0
38590418,0.0,0.0,0.0,0.0,3.0,0.0
38593772,1.0,0.0,0.0,0.0,3.0,0.0
38595788,2.0,3.0,-1.0,1.0,1.0,3.0
38597313,0.0,2.0,-1.0,2.0,0.0,2.0
38599450,3.0,1.0,-1.0,3.0,1.0,1.0
3860651,0.0,0.0,0.0,0.0,3.0,0.0
38606638,0.0,2.0,0.0,0.0,3.0,0.0
386080,0.0,2.0,-1.0,2.0,0.0,2.0
3861317,0.0,2.0,-1.0,2.0,0.0,2.0
3861727,2.0,3.0,-1.0,1.0,1.0,3.0
38623119,1.0,0.0,0.0,0.0,3.0,0.0
38630175,1.0,0.0,0.0,0.0,3.0,0.0
38648897,1.0,1.0,-1.0,0.0,3.0,1.0
386528824,2.0,3.0,-1.0,1.0,2.0,3.0
3865658,3.0,1.0,-1.0,3.0,1.0,1.0
38664114,1.0,1.0,-1.0,3.0,3.0,1.0
38667012,0.0,0.0,0.0,0.0,3.0,0.0
38672106,1.0,0.0,0.0,0.0,3.0,0.0
3867214,0.0,2.0,-1.0,2.0,0.0,2.0
38675942,1.0,0.0,0.0,0.0,3.0,0.0
38676924,1.0,0.0,0.0,0.0,3.0,0.0
3867981,0.0,2.0,0.0,2.0,3.0,2.0
3868420,1.0,0.0,0.0,0.0,3.0,0.0
3869457,0.0,2.0,0.0,0.0,3.0,0.0
38707785,1.0,0.0,0.0,0.0,3.0,0.0
3871206,0.0,0.0,0.0,0.0,3.0,0.0
38712947,0.0,0.0,0.0,0.0,3.0,0.0
38717807,1.0,0.0,0.0,0.0,3.0,0.0
38735483,3.0,1.0,-1.0,3.0,1.0,1.0
3874255,0.0,2.0,0.0,2.0,3.0,2.0
38755,0.0,0.0,0.0,0.0,3.0,0.0
38756945,1.0,0.0,0.0,0.0,3.0,0.0
38760041,1.0,0.0,0.0,0.0,3.0,0.0
38768030,1.0,0.0,0.0,0.0,3.0,0.0
3877,0.0,0.0,0.0,0.0,3.0,0.0
38771559,0.0,0.0,0.0,0.0,3.0,0.0
38771671,3.0,1.0,-1.0,3.0,1.0,1.0
3877254,1.0,0.0,0.0,0.0,3.0,0.0
38775414,1.0,0.0,0.0,0.0,3.0,0.0
38784647,0.0,2.0,-1.0,2.0,0.0,2.0
3880601,0.0,2.0,0.0,0.0,3.0,2.0
38807490,1.0,0.0,0.0,0.0,3.0,0.0
38808129,1.0,0.0,0.0,0.0,3.0,0.0
38810244,0.0,2.0,0.0,2.0,3.0,2.0
38817787,0.0,2.0,-1.0,2.0,0.0,2.0
3882170,0.0,2.0,2.0,2.0,3.0,2.0
38821761,1.0,0.0,0.0,0.0,3.0,0.0
3882951,3.0,1.0,-1.0,3.0,1.0,1.0
3883327,0.0,2.0,-1.0,2.0,0.0,2.0
3883658,1.0,0.0,0.0,0.0,3.0,0.0
38837666,0.0,2.0,0.0,2.0,3.0,2.0
38838626,1.0,0.0,0.0,0.0,3.0,0.0
3885054,1.0,1.0,0.0,0.0,3.0,0.0
3885240,0.0,2.0,0.0,2.0,3.0,2.0
3885337,0.0,0.0,0.0,0.0,3.0,0.0
3885352,1.0,0.0,0.0,0.0,3.0,0.0
38854266,2.0,3.0,-1.0,1.0,1.0,3.0
38863262,0.0,2.0,-1.0,2.0,0.0,2.0
3887155,1.0,0.0,0.0,0.0,3.0,0.0
38872586,0.0,2.0,1.0,2.0,3.0,2.0
38874845,0.0,2.0,0.0,0.0,3.0,2.0
3887795,0.0,0.0,0.0,0.0,3.0,0.0
38879777,0.0,0.0,0.0,0.0,3.0,0.0
3888642,0.0,0.0,0.0,0.0,3.0,0.0
3891560,0.0,2.0,0.0,0.0,3.0,0.0
3892607,3.0,3.0,-1.0,1.0,1.0,3.0
38926164,3.0,3.0,-1.0,1.0,1.0,3.0
38953466,3.0,1.0,-1.0,3.0,1.0,1.0
3896436,1.0,0.0,0.0,0.0,3.0,0.0
38971000,0.0,0.0,0.0,0.0,3.0,0.0
38973215,0.0,2.0,-1.0,2.0,3.0,2.0
3898443,0.0,2.0,0.0,0.0,3.0,0.0
38986151,2.0,3.0,-1.0,1.0,2.0,3.0
3899123,1.0,0.0,0.0,0.0,3.0,0.0
38993520,0.0,2.0,0.0,0.0,3.0,0.0
3900627,0.0,0.0,0.0,0.0,3.0,0.0
39006567,0.0,2.0,0.0,0.0,3.0,2.0
39008214,0.0,0.0,0.0,0.0,3.0,0.0
39014798,0.0,0.0,0.0,0.0,3.0,0.0
39015131,0.0,0.0,0.0,0.0,3.0,0.0
